name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
HD 106315 b,10.488337417624269,0.0907,1156.3005541614314,2.4432887191666435,1.3,6327.0,1.09,2.3987218764208778
HD 106315 c,12.077479450597641,0.1536,893.1006314333902,2.4432887191666435,1.3,6327.0,1.09,4.380469669650836
HD 183579 b,9.598417879159179,0.1334,766.186000564951,0.9823885639148405,0.985,5788.0,1.031,3.5297080321725907
HD 191939 b,9.852680604434918,0.078,910.8811658190328,0.6988752340557768,0.945,5427.0,0.81,3.39632116147442
HD 191939 c,7.2147048296991185,0.17,616.9991460715778,0.6988752340557768,0.945,5427.0,0.81,3.080227904861949
HD 191939 d,5.784477000023082,0.207,559.1442342549708,0.6988752340557768,0.945,5427.0,0.81,3.03987557423057
HD 207496 Ab,6.102305406617756,0.0629,818.0476318085856,0.28772469090506675,0.769,4819.0,0.8,2.249642432699393
HD 214823 Ab,5914.786646726898,3.08,233.60014017952187,4.652158208286809,2.04,5933.0,1.31,12.128117150875653
HD 21520 b,7.9139273242074015,0.1726,696.2660698707258,1.1682776441252356,1.044,5871.0,1.09,2.696992853671156
HD 260655 b,2.1389851763821612,0.02933,709.6079705070119,0.036368977358126296,0.439,3803.0,0.439,1.2397132688418182
HD 33632 Ab,16431.728620944687,24.1,62.63793335879749,1.4858715523344692,1.1,6074.0,1.1,10.87271130901052
HD 4113 Ac,10742.600142900006,50.438,42.79555801371603,1.0844860758314572,1.084,5655.45,1.0,16.253022059861088
HD 73583 Ab,10.20229185168906,0.0604,746.8246874681898,0.18832360244570515,0.71,4511.0,0.66,2.7899153039306377
HD 97334 C,15160.414994565988,2.85,172.91187906313453,1.2047555078605283,1.048,5905.0,1.07,11.62371301798341
HIP 113103 b,5.91160836266095,0.06899,782.4941564827469,0.2934217041236059,0.742,4930.0,0.761,1.8289693858672647
HIP 113103 c,8.390669934099414,0.10479,634.9130524032388,0.2934217041236059,0.742,4930.0,0.761,2.3998427744939717
HIP 65 Ab,1021.1826703886901,0.01782,1410.9817410229962,0.21002187456558272,0.7242,4590.0,0.781,22.75423088380552
